primary_trips,work_trip,study_trip,shopping_trips,recreational_activity,social_activity,e_learning,teleshopping,teleworking,distance_traveled,mode_of_transport,mode_transport,reason_of_mode,change_mode,transport_mode,fac_inf_mode,fac_res_movement,private_car,trotro,uber_bolt,bicycle,motrobike,walking,gender,age,edu,edu_level,employ_status,income,marital_status,household_car_own,motor_bicycle_own
shopping,never,5 or more trips/week,2 trips/week,never,never,5/more/week,never,1/week,5.01 - 10km,trotro,Paratransit,comfort,Yes,trotro,social distance,never reduce my movement,extremely unlikely,unlikely,extremely unlikely,extremely unlikely,neutral,extremely unlikely,Male,25 - 30 years,High school certififcate,high school certififcate,Self Employed,1501 - 2500 cedis,Married,Yes,No
shopping,never,2 trips/week,3 trips/week,never,3 trips/week,3/week,never,1/week,10.01 - 15km,private car,Private_transport,cost,Yes,private car,travel cost time,wearing of nose mask,unlikely,likely,extremely unlikely,likely,unlikely,likely,Female,41 - 50 years,HND/diploma,HND/diploma,Self Employed,1001 - 1500 cedis,Married,No,No
study,never,5 or more trips/week,never,never,1 trip/week,5/more/week,never,never,10.01 - 15km,taxi,Paratransit,infection concern,Yes,trotro,infection concern,perception of infection,extremely likely,extremely unlikely,likely,extremely unlikely,extremely unlikely,extremely unlikely,Female,41 - 50 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Married,Yes,Yes
study,never,2 trips/week,4 trip/week,5 or more trips/week,never,never,1/week,never,5.01 - 10km,private car,Private_transport,comfort,No,private car,availability,social distance,extremely unlikely,neutral,extremely unlikely,unlikely,extremely unlikely,extremely likely,Male,25 - 30 years,Postgraduate,postgraduate,Unemployed,less 100 cedis,Married,No,No
study,never,2 trips/week,never,never,never,1/week,never,never,0 - 5km,motor bike,Private_transport,cost,No,taxi,comfort,never reduce my movement,extremely unlikely,unlikely,extremely likely,extremely likely,extremely likely,extremely likely,Female,18 - 24 years,Junior High certififcate,junior high certificate,Formally Employed,501 - 1000 cedis,Single,No,No
study,never,5 or more trips/week,3 trips/week,1 trip/week,never,3/week,never,never,5.01 - 10km,taxi,Paratransit,infection concern,Yes,trotro,safety ans security,perception of infection,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,likely,Male,41 - 50 years,High school certififcate,high school certififcate,Formally Employed,1001 - 1500 cedis,Married,No,No
work,3 trips/week,never,never,never,never,never,3/week,never,5.01 - 10km,trotro,Paratransit,availability,Yes,private car,safety ans security,never reduce my movement,unlikely,likely,extremely unlikely,extremely likely,extremely likely,likely,Male,25 - 30 years,High school certififcate,high school certififcate,Self Employed,1001 - 1500 cedis,Single,No,No
shopping,never,never,3 trips/week,never,never,never,never,3/week,10.01 - 15km,motor bike,Private_transport,cost,No,taxi,infection concern,never reduce my movement,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,unlikely,extremely unlikely,Male,31 - 40 years,High school certififcate,high school certififcate,Formally Employed,1001 - 1500 cedis,Married,No,No
study,never,5 or more trips/week,never,never,never,never,never,never,5.01 - 10km,taxi,Paratransit,cost,No,taxi,infection concern,perception of infection,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,18 - 24 years,High school certififcate,high school certififcate,Formally Employed,101 - 500 cedis,Married,No,No
study,never,5 or more trips/week,never,2 trips/week,3 trips/week,4/week,2/week,never,10.01 - 15km,trotro,Paratransit,availability,No,private car,infection concern,frequent washing of hands,extremely likely,unlikely,likely,extremely unlikely,neutral,extremely unlikely,Male,31 - 40 years,High school certififcate,high school certififcate,Unemployed,101 - 500 cedis,Single,Yes,Yes
work,5 or more trips/week,never,1 trip/week,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,availability,Yes,uber/bolt,safety ans security,frequent washing of hands,extremely unlikely,neutral,extremely unlikely,extremely unlikely,extremely unlikely,neutral,Female,25 - 30 years,High school certififcate,high school certififcate,Unemployed,501 - 1000 cedis,Cohabitation,No,No
others,never,never,never,never,1 trip/week,never,never,never,5.01 - 10km,trotro,Paratransit,availability,Yes,motor bike,safety ans security,perception of infection,extremely unlikely,neutral,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,18 - 24 years,High school certififcate,high school certififcate,Unemployed,101 - 500 cedis,Single,No,Yes
study,never,1 trip/week,never,never,never,never,never,never,5.01 - 10km,uber/bolt,Ride_hailing,safety ans security,Yes,private car,social distance,social distance,extremely unlikely,extremely likely,likely,unlikely,likely,extremely unlikely,Female,18 - 24 years,HND/diploma,HND/diploma,Student,less 100 cedis,Single,Yes,No
work,5 or more trips/week,never,2 trips/week,never,never,never,never,never,20.01 - 30km,trotro,Paratransit,availability,Yes,private car,infection concern,perception of infection,extremely unlikely,extremely likely,neutral,extremely unlikely,unlikely,neutral,Female,25 - 30 years,Junior High certififcate,junior high certificate,Student,101 - 500 cedis,Single,No,No
work,2 trips/week,never,1 trip/week,3 trips/week,4 trip/week,never,3/week,never,20.01 - 30km,trotro,Paratransit,comfort,Yes,private car,infection concern,wearing of nose mask,extremely unlikely,likely,neutral,unlikely,extremely unlikely,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Unemployed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,2 trips/week,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,comfort,No,uber/bolt,cleaniness,frequent washing of hands,extremely unlikely,neutral,extremely likely,likely,unlikely,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Self Employed,101 - 500 cedis,Cohabitation,No,No
work,5 or more trips/week,never,2 trips/week,1 trip/week,1 trip/week,never,never,never,15.01 - 20km,trotro,Paratransit,availability,No,trotro,comfort,frequent washing of hands,extremely unlikely,likely,unlikely,unlikely,extremely unlikely,extremely likely,Female,25 - 30 years,High school certififcate,high school certififcate,Self Employed,101 - 500 cedis,Cohabitation,No,No
work,5 or more trips/week,never,1 trip/week,1 trip/week,1 trip/week,never,never,never,5.01 - 10km,trotro,Paratransit,comfort,No,trotro,availability,social distance,extremely unlikely,neutral,likely,extremely likely,extremely likely,likely,Male,18 - 24 years,HND/diploma,HND/diploma,Unemployed,101 - 500 cedis,Single,No,No
others,never,never,never,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,infection concern,Yes,taxi,cleaniness,frequent washing of hands,extremely unlikely,neutral,extremely unlikely,extremely likely,likely,extremely unlikely,Female,18 - 24 years,No formal Education,no certificate and can not read,Unemployed,less 100 cedis,Single,No,No
work,5 or more trips/week,never,never,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,motor bike,Private_transport,safety ans security,No,trotro,infection concern,frequent washing of hands,extremely unlikely,neutral,likely,extremely unlikely,unlikely,extremely likely,Male,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,Yes
work,5 or more trips/week,never,never,1 trip/week,1 trip/week,never,never,never,5.01 - 10km,taxi,Paratransit,availability,Yes,uber/bolt,comfort,wearing of nose mask,extremely unlikely,neutral,likely,extremely likely,neutral,unlikely,Female,18 - 24 years,Junior High certififcate,junior high certificate,Unemployed,101 - 500 cedis,Single,No,No
others,never,never,1 trip/week,2 trips/week,3 trips/week,never,never,never,20.01 - 30km,uber/bolt,Ride_hailing,comfort,No,trotro,infection concern,wearing of nose mask,extremely unlikely,extremely likely,unlikely,extremely unlikely,likely,unlikely,Female,25 - 30 years,Junior High certififcate,junior high certificate,Self Employed,101 - 500 cedis,Cohabitation,No,No
work,2 trips/week,1 trip/week,never,never,never,1/week,1/week,never,5.01 - 10km,taxi,Paratransit,availability,Yes,uber/bolt,social distance,social distance,extremely unlikely,extremely likely,unlikely,unlikely,unlikely,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Self Employed,501 - 1000 cedis,Single,Yes,No
study,1 trip/week,3 trips/week,1 trip/week,never,1 trip/week,1/week,never,never,10.01 - 15km,uber/bolt,Ride_hailing,travel cost time,Yes,private car,infection concern,social distance,extremely unlikely,extremely likely,unlikely,likely,likely,extremely unlikely,Female,18 - 24 years,HND/diploma,HND/diploma,Formally Employed,501 - 1000 cedis,Single,Yes,No
study,never,1 trip/week,2 trips/week,3 trips/week,1 trip/week,1/week,1/week,1/week,10.01 - 15km,private car,Private_transport,comfort,Yes,private car,infection concern,social distance,extremely unlikely,extremely likely,likely,unlikely,likely,unlikely,Female,25 - 30 years,HND/diploma,HND/diploma,Self Employed,501 - 1000 cedis,Single,Yes,No
study,5 or more trips/week,2 trips/week,1 trip/week,2 trips/week,2 trips/week,3/week,3/week,never,20.01 - 30km,trotro,Paratransit,availability,Yes,uber/bolt,comfort,wearing of nose mask,extremely unlikely,neutral,extremely unlikely,unlikely,extremely unlikely,extremely likely,Male,25 - 30 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
work,never,5 or more trips/week,never,never,never,never,never,never,0 - 5km,taxi,Paratransit,safety ans security,No,taxi,safety ans security,social distance,extremely unlikely,extremely likely,likely,neutral,neutral,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
work,never,4 trip/week,2 trips/week,2 trips/week,3 trips/week,2/week,never,never,0 - 5km,taxi,Paratransit,availability,No,taxi,availability,perception of infection,unlikely,extremely likely,likely,neutral,neutral,unlikely,Female,41 - 50 years,Postgraduate,postgraduate,Student,1501 - 2500 cedis,Married,No,No
study,never,2 trips/week,2 trips/week,never,1 trip/week,1/week,never,1/week,20.01 - 30km,trotro,Paratransit,cost,Yes,uber/bolt,safety ans security,social distance,unlikely,extremely likely,neutral,neutral,neutral,likely,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
study,never,5 or more trips/week,never,never,1 trip/week,never,never,never,10.01 - 15km,trotro,Paratransit,cost,No,trotro,cost,perception of infection,unlikely,extremely likely,likely,unlikely,unlikely,unlikely,Male,25 - 30 years,Postgraduate,postgraduate,Formally Employed,501 - 1000 cedis,Single,No,No
study,1 trip/week,5 or more trips/week,3 trips/week,never,1 trip/week,never,never,never,20.01 - 30km,taxi,Paratransit,availability,No,taxi,availability,wearing of nose mask,neutral,extremely likely,neutral,unlikely,unlikely,unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
study,never,never,never,never,never,2/week,never,never,0 - 5km,trotro,Paratransit,cost,No,trotro,cost,never reduce my movement,neutral,extremely likely,likely,neutral,neutral,likely,Male,18 - 24 years,HND/diploma,HND/diploma,Student,501 - 1000 cedis,Single,No,No
study,5 or more trips/week,5 or more trips/week,2 trips/week,never,never,3/week,never,never,5.01 - 10km,trotro,Paratransit,availability,No,trotro,availability,frequent washing of hands,unlikely,extremely likely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,Male,31 - 40 years,Postgraduate,postgraduate,Student,501 - 1000 cedis,Single,No,No
others,1 trip/week,1 trip/week,never,1 trip/week,4 trip/week,5/more/week,1/week,2/week,20.01 - 30km,trotro,Paratransit,cost,Yes,taxi,social distance,social distance,unlikely,extremely likely,likely,unlikely,neutral,extremely unlikely,Female,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,101 - 500 cedis,Single,No,No
others,3 trips/week,1 trip/week,2 trips/week,4 trip/week,1 trip/week,1/week,2/week,2/week,20.01 - 30km,trotro,Paratransit,cost,Yes,uber/bolt,social distance,social distance,unlikely,extremely likely,likely,unlikely,likely,unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,1501 - 2500 cedis,Single,No,No
work,5 or more trips/week,2 trips/week,2 trips/week,2 trips/week,2 trips/week,1/week,never,1/week,20.01 - 30km,private car,Private_transport,safety ans security,No,private car,safety ans security,perception of infection,extremely unlikely,extremely likely,neutral,extremely unlikely,extremely unlikely,extremely unlikely,Male,31 - 40 years,Bachelors degree,first degree,Formally Employed,3500 - above cedis,Married,Yes,No
study,4 trip/week,5 or more trips/week,never,never,1 trip/week,never,never,never,10.01 - 15km,trotro,Paratransit,availability,Yes,uber/bolt,safety ans security,perception of infection,extremely unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,unlikely,Male,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,Yes
study,1 trip/week,2 trips/week,never,never,1 trip/week,3/week,never,never,10.01 - 15km,trotro,Paratransit,comfort,No,trotro,comfort,perception of infection,unlikely,extremely unlikely,unlikely,unlikely,extremely unlikely,extremely unlikely,Male,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
study,never,2 trips/week,never,never,1 trip/week,2/week,2/week,2/week,20.01 - 30km,trotro,Paratransit,safety ans security,Yes,trotro,safety ans security,social distance,extremely likely,extremely likely,extremely likely,extremely likely,extremely likely,extremely likely,Male,25 - 30 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
work,5 or more trips/week,1 trip/week,1 trip/week,never,2 trips/week,1/week,never,never,5.01 - 10km,trotro,Paratransit,availability,No,trotro,availability,never reduce my movement,unlikely,extremely likely,likely,neutral,neutral,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Self Employed,501 - 1000 cedis,Single,No,Yes
shopping,2 trips/week,2 trips/week,2 trips/week,never,1 trip/week,never,never,1/week,10.01 - 15km,trotro,Paratransit,infection concern,Yes,uber/bolt,infection concern,wearing of nose mask,extremely unlikely,likely,unlikely,unlikely,unlikely,likely,Female,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,501 - 1000 cedis,Single,No,No
shopping,5 or more trips/week,5 or more trips/week,5 or more trips/week,5 or more trips/week,5 or more trips/week,5/more/week,5/more/week,5/more/week,10.01 - 15km,private car,Private_transport,travel cost time,No,private car,travel cost time,perception of infection,extremely unlikely,extremely likely,neutral,extremely unlikely,unlikely,unlikely,Male,18 - 24 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Single,No,No
study,5 or more trips/week,never,1 trip/week,1 trip/week,1 trip/week,1/week,never,never,15.01 - 20km,trotro,Paratransit,cost,Yes,taxi,infection concern,perception of infection,unlikely,extremely likely,likely,likely,likely,likely,Female,25 - 30 years,Bachelors degree,first degree,Formally Employed,2501 - 3500 cedis,Single,No,No
study,never,1 trip/week,1 trip/week,never,never,1/week,never,never,20.01 - 30km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,perception of infection,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,unlikely,Male,18 - 24 years,High school certififcate,high school certififcate,Student,less 100 cedis,Single,No,No
study,never,5 or more trips/week,3 trips/week,4 trip/week,4 trip/week,1/week,never,never,0 - 5km,walking,Non_motorized_transport,availability,No,walking,availability,perception of infection,unlikely,extremely likely,likely,neutral,neutral,extremely unlikely,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
shopping,never,1 trip/week,1 trip/week,never,1 trip/week,5/more/week,never,never,5.01 - 10km,taxi,Paratransit,availability,No,taxi,availability,social distance,extremely unlikely,extremely likely,neutral,extremely unlikely,likely,extremely unlikely,Male,31 - 40 years,Postgraduate,postgraduate,Student,501 - 1000 cedis,Married,No,No
study,5 or more trips/week,4 trip/week,4 trip/week,5 or more trips/week,4 trip/week,2/week,1/week,never,10.01 - 15km,trotro,Paratransit,safety ans security,Yes,taxi,safety ans security,social distance,unlikely,likely,unlikely,neutral,neutral,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
work,1 trip/week,never,never,never,never,never,never,never,0 - 5km,taxi,Paratransit,infection concern,No,taxi,infection concern,social distance,extremely unlikely,extremely unlikely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,31 - 40 years,High school certififcate,high school certififcate,Unemployed,less 100 cedis,Single,No,No
others,1 trip/week,never,1 trip/week,1 trip/week,1 trip/week,never,1/week,1/week,0 - 5km,private car,Private_transport,safety ans security,No,private car,infection concern,perception of infection,extremely unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,18 - 24 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,Yes,No
study,1 trip/week,2 trips/week,1 trip/week,1 trip/week,1 trip/week,1/week,1/week,1/week,10.01 - 15km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,social distance,extremely unlikely,extremely likely,neutral,unlikely,neutral,likely,Female,18 - 24 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
others,never,never,never,never,4 trip/week,never,never,1/week,20.01 - 30km,trotro,Paratransit,safety ans security,Yes,trotro,safety ans security,perception of infection,extremely unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,31 - 40 years,HND/diploma,HND/diploma,Formally Employed,1501 - 2500 cedis,Married,No,No
study,never,1 trip/week,1 trip/week,never,never,never,never,never,20.01 - 30km,trotro,Paratransit,availability,No,trotro,availability,perception of infection,unlikely,likely,unlikely,unlikely,unlikely,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Unemployed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,1/week,never,never,10.01 - 15km,trotro,Paratransit,availability,No,trotro,availability,perception of infection,unlikely,extremely likely,neutral,unlikely,unlikely,extremely unlikely,Male,31 - 40 years,Bachelors degree,first degree,Formally Employed,3500 - above cedis,Married,No,No
study,never,4 trip/week,1 trip/week,1 trip/week,1 trip/week,1/week,never,never,0 - 5km,trotro,Paratransit,availability,No,trotro,availability,perception of infection,extremely unlikely,likely,unlikely,likely,likely,unlikely,Female,18 - 24 years,Bachelors degree,first degree,Student,3500 - above cedis,Single,No,No
work,5 or more trips/week,2 trips/week,2 trips/week,never,1 trip/week,3/week,never,never,5.01 - 10km,trotro,Paratransit,availability,No,trotro,availability,never reduce my movement,extremely unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,neutral,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,No,No
work,1 trip/week,never,2 trips/week,4 trip/week,1 trip/week,1/week,never,1/week,20.01 - 30km,walking,Non_motorized_transport,infection concern,Yes,taxi,infection concern,social distance,extremely unlikely,unlikely,extremely unlikely,likely,likely,extremely likely,Female,25 - 30 years,High school certififcate,high school certififcate,Self Employed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,1 trip/week,never,never,never,never,never,15.01 - 20km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,perception of infection,neutral,extremely likely,likely,unlikely,neutral,unlikely,Female,25 - 30 years,Postgraduate,postgraduate,Formally Employed,2501 - 3500 cedis,Single,No,No
study,never,5 or more trips/week,never,never,never,never,never,never,0 - 5km,trotro,Paratransit,cost,Yes,trotro,safety ans security,never reduce my movement,extremely unlikely,extremely likely,neutral,unlikely,neutral,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Single,No,Yes
work,1 trip/week,never,1 trip/week,never,never,never,never,never,0 - 5km,trotro,Paratransit,cost,No,trotro,cost,never reduce my movement,unlikely,likely,unlikely,unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Single,No,No
others,never,5 or more trips/week,2 trips/week,2 trips/week,3 trips/week,never,never,never,5.01 - 10km,trotro,Paratransit,infection concern,No,trotro,infection concern,perception of infection,unlikely,likely,unlikely,neutral,neutral,extremely unlikely,Male,18 - 24 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
